scheduleName,account,transType,frequency,dueDate,paymentAmount
Spring 2025 Tuition,Chase Freedom Unlimited,Education,Monthly,1,1000
Summer 2025 Tuition,Chase Freedom Unlimited,Education,Monthly,8,250
Graduation Fees,Chase Freedom Unlimited,Education,Monthly,1,25
Food,Capitol One Savor,Dining,Monthly,1,238.46
Germany trip,Amex Platinum,Travel,Monthly,10,60.80
Hong Kong trip,Amex Platinum,Travel,Monthly,7,70.43
Clothes,Chase Freedom Unlimited,Personal Care,Monthly,10,123.57
Tutoring,Chase Freedom Unlimited,Education,Monthly,8,45
Cantonese School,Chase Freedom Unlimited,Personal Care,Monthly,17,175
Trip to Grandma's house,Amex Platinum,Travel,Monthly,27,70.43
