accountName,transactionTypeName,transactionDate,transactionDescription,paymentAmount,depositAmount
Capitol One Savor,Dining,2024-11-20,Seapot hotpot and kbbq,32.99,0.0
Amex Platinum,Travel,2024-11-20,Korea flight,0.0,250.0
Capitol One Savor,Dining,2024-11-18,KBBQ,27.99,0.0
Amex Platinum,Travel,2024-10-20,Korea flight,0.0,250.0
Capitol One Savor,Dining,2024-10-20,Ginger market,7.99,0.0
Chase Freedom Unlimited,Education,2024-08-04,Fall 2024 Tuition,4200.0,0.0
Chase Freedom Unlimited,Personal Care,2024-06-16,Haircut,55.0,0.0
Chase Freedom Unlimited,Education,2023-12-12,Spring semester tuition,4200.0,0.0
Chase Freedom Unlimited,Education,2023-08-08,Fall semester tuition,4200.0,0.0
Amex Platinum,Travel,2023-07-17,Japan flight,364.63,0.0
